iShares Russell 3000 ETF
Fund Holdings as of,"Oct 23, 2020"
Inception Date,"May 22, 2000"
Shares Outstanding,"48,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","530,368,451.84","5.37","530,368,451.84","4,610,296.00","037833100","US0378331005","2046251","115.04","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","462,571,757.34","4.68","462,571,757.34","2,139,258.00","594918104","US5949181045","2588173","216.23","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","388,145,767.60","3.93","388,145,767.60","121,129.00","023135106","US0231351067","2000019","3,204.40","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","195,361,383.36","1.98","195,361,383.36","685,984.00","30303M102","US30303M1027","B7TL820","284.79","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","140,044,364.80","1.42","140,044,364.80","85,760.00","02079K305","US02079K3059","BYVY8G0","1,632.98","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","138,912,291.00","1.41","138,912,291.00","84,651.00","02079K107","US02079K1079","BYY88Y7","1,641.00","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","116,429,583.73","1.18","116,429,583.73","547,363.00","084670702","US0846707026","2073390","212.71","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","109,408,565.80","1.11","109,408,565.80","753,295.00","478160104","US4781601046","2475833","145.24","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","99,120,399.84","1.00","99,120,399.84","696,168.00","742718109","US7427181091","2704407","142.38","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","95,506,757.33","0.97","95,506,757.33","482,333.00","92826C839","US92826C8394","B2PZN04","198.01","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","91,672,215.96","0.93","91,672,215.96","168,636.00","67066G104","US67066G1040","2379504","543.61","United States","NASDAQ","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","89,826,585.38","0.91","89,826,585.38","865,298.00","46625H100","US46625H1005","2190385","103.81","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","89,154,555.00","0.90","89,154,555.00","269,675.00","91324P102","US91324P1021","2917766","330.60","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","88,842,944.82","0.90","88,842,944.82","211,214.00","88160R101","US88160R1014","B616C79","420.63","United States","NASDAQ","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","86,845,342.00","0.88","86,845,342.00","306,874.00","437076102","US4370761029","2434209","283.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","83,066,664.15","0.84","83,066,664.15","252,015.00","57636Q104","US57636Q1040","B121557","329.61","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","68,607,078.12","0.69","68,607,078.12","1,183,697.00","92343V104","US92343V1044","2090571","57.96","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","68,115,250.08","0.69","68,115,250.08","335,477.00","70450Y103","US70450Y1038","BYW36M8","203.04","United States","NASDAQ","USD","1.00","-","USD"
"ADBE","ADOBE INC","Information Technology","Equity","67,127,227.50","0.68","67,127,227.50","137,415.00","00724F101","US00724F1012","2008154","488.50","United States","NASDAQ","USD","1.00","-","USD"
"DIS","WALT DISNEY","Communication","Equity","66,265,821.50","0.67","66,265,821.50","516,290.00","254687106","US2546871060","2270726","128.35","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","61,979,650.08","0.63","61,979,650.08","247,404.00","79466L302","US79466L3024","2310525","250.52","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PFE","PFIZER INC","Health Care","Equity","60,652,862.54","0.61","60,652,862.54","1,588,603.00","717081103","US7170811035","2684703","38.18","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NFLX","NETFLIX INC","Communication","Equity","59,320,160.64","0.60","59,320,160.64","121,488.00","64110L106","US64110L1061","2857817","488.28","United States","NASDAQ","USD","1.00","-","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","58,365,090.80","0.59","58,365,090.80","1,210,894.00","458140100","US4581401001","2463247","48.20","United States","NASDAQ","USD","1.00","-","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","58,330,124.94","0.59","58,330,124.94","1,294,499.00","20030N101","US20030N1019","2044545","45.06","United States","NASDAQ","USD","1.00","-","USD"
"MRK","MERCK & CO INC","Health Care","Equity","57,612,672.36","0.58","57,612,672.36","721,692.00","58933Y105","US58933Y1055","2778844","79.83","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","57,263,951.85","0.58","57,263,951.85","398,081.00","931142103","US9311421039","2936921","143.85","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"T","AT&T INC","Communication","Equity","56,671,843.80","0.57","56,671,843.80","2,037,090.00","00206R102","US00206R1023","2831811","27.82","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"KO","COCA-COLA","Consumer Staples","Equity","55,791,256.80","0.56","55,791,256.80","1,104,340.00","191216100","US1912161007","2206657","50.52","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","55,336,796.04","0.56","55,336,796.04","396,509.00","713448108","US7134481081","2681511","139.56","United States","NASDAQ","USD","1.00","-","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","55,019,438.40","0.56","55,019,438.40","2,209,616.00","060505104","US0605051046","2295677","24.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","54,174,700.08","0.55","54,174,700.08","112,824.00","883556102","US8835561023","2886907","480.17","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","53,223,576.09","0.54","53,223,576.09","493,771.00","002824100","US0028241000","2002305","107.79","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","48,638,383.44","0.49","48,638,383.44","212,664.00","580135101","US5801351017","2550707","228.71","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","47,219,828.40","0.48","47,219,828.40","126,054.00","22160K105","US22160K1051","2701271","374.60","United States","NASDAQ","USD","1.00","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","47,091,455.04","0.48","47,091,455.04","1,213,072.00","17275R102","US17275R1023","2198163","38.82","United States","NASDAQ","USD","1.00","-","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","44,980,569.69","0.46","44,980,569.69","346,031.00","654106103","US6541061031","2640147","129.99","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","42,693,804.18","0.43","42,693,804.18","383,179.00","G5960L103","IE00BTN1Y115","BTN1Y11","111.42","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABBV","ABBVIE INC","Health Care","Equity","42,444,695.38","0.43","42,444,695.38","503,257.00","00287Y109","US00287Y1091","B92SR70","84.34","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","42,368,579.86","0.43","42,368,579.86","139,798.00","65339F101","US65339F1012","2328915","303.07","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","41,823,086.90","0.42","41,823,086.90","182,077.00","G1151C101","IE00B4BNMY34","B4BNMY3","229.70","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DHR","DANAHER CORP","Health Care","Equity","41,608,216.42","0.42","41,608,216.42","178,837.00","235851102","US2358511028","2250870","232.66","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","41,561,261.76","0.42","41,561,261.76","111,508.00","11135F101","US11135F1012","BDZ78H9","372.72","United States","NASDAQ","USD","1.00","-","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","41,435,306.64","0.42","41,435,306.64","321,503.00","747525103","US7475251036","2714923","128.88","United States","NASDAQ","USD","1.00","-","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","41,300,806.40","0.42","41,300,806.40","1,209,040.00","30231G102","US30231G1022","2326618","34.16","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CVX","CHEVRON CORP","Energy","Equity","39,928,594.56","0.40","39,928,594.56","550,208.00","166764100","US1667641005","2838555","72.57","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","39,322,811.12","0.40","39,322,811.12","262,222.00","882508104","US8825081040","2885409","149.96","United States","NASDAQ","USD","1.00","-","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","38,889,137.63","0.39","38,889,137.63","646,751.00","110122108","US1101221083","2126335","60.13","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AMGN","AMGEN INC","Health Care","Equity","38,197,862.64","0.39","38,197,862.64","168,154.00","031162100","US0311621009","2023607","227.16","United States","NASDAQ","USD","1.00","-","USD"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","37,167,091.68","0.38","37,167,091.68","215,912.00","548661107","US5486611073","2536763","172.14","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","36,485,613.92","0.37","36,485,613.92","193,928.00","907818108","US9078181081","2914734","188.14","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","35,207,882.26","0.36","35,207,882.26","200,569.00","438516106","US4385161066","2020459","175.54","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LIN","LINDE PLC","Materials","Equity","35,148,933.72","0.36","35,148,933.72","150,036.00","G5494J103","IE00BZ12WP82","BZ12WP8","234.27","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","34,627,879.80","0.35","34,627,879.80","201,442.00","911312106","US9113121068","2517382","171.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LLY","ELI LILLY","Health Care","Equity","34,259,617.98","0.35","34,259,617.98","240,621.00","532457108","US5324571083","2516152","142.38","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","33,092,727.20","0.34","33,092,727.20","444,496.00","718172109","US7181721090","B2PKRQ3","74.45","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","32,863,296.40","0.33","32,863,296.40","548,636.00","68389X105","US68389X1054","2661568","59.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","30,315,396.00","0.31","30,315,396.00","333,870.00","855244109","US8552441094","2842255","90.80","United States","NASDAQ","USD","1.00","-","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","29,952,720.00","0.30","29,952,720.00","126,000.00","03027X100","US03027X1000","B7FBFL2","237.72","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","29,439,988.00","0.30","29,439,988.00","253,793.00","459200101","US4592001014","2005973","116.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NOW","SERVICENOW INC","Information Technology","Equity","27,899,434.78","0.28","27,899,434.78","54,278.00","81762P102","US81762P1021","B80NXX8","514.01","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","27,297,679.56","0.28","27,297,679.56","333,061.00","007903107","US0079031078","2007849","81.96","United States","NASDAQ","USD","1.00","-","USD"
"MMM","3M","Industrials","Equity","27,257,314.80","0.28","27,257,314.80","160,526.00","88579Y101","US88579Y1010","2595708","169.80","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BLK","BLACKROCK INC","Financials","Equity","26,760,009.59","0.27","26,760,009.59","41,989.00","09247X101","US09247X1019","2494504","637.31","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","26,458,018.73","0.27","26,458,018.73","70,681.00","539830109","US5398301094","2522096","374.33","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"C","CITIGROUP INC","Financials","Equity","26,141,108.40","0.26","26,141,108.40","594,792.00","172967424","US1729674242","2297907","43.95","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","26,043,108.84","0.26","26,043,108.84","154,476.00","149123101","US1491231015","2180201","168.59","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","25,536,193.54","0.26","25,536,193.54","408,122.00","75513E101","US75513E1010","BM5M5Y3","62.57","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BA","BOEING","Industrials","Equity","25,521,395.84","0.26","25,521,395.84","152,494.00","097023105","US0970231058","2108601","167.36","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","25,465,373.20","0.26","25,465,373.20","176,353.00","31620M106","US31620M1062","2769796","144.40","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","25,345,514.88","0.26","25,345,514.88","42,721.00","16119P108","US16119P1084","BZ6VT82","593.28","United States","NASDAQ","USD","1.00","-","USD"
"WFC","WELLS FARGO","Financials","Equity","24,970,128.00","0.25","24,970,128.00","1,072,600.00","949746101","US9497461015","2649100","23.28","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Information Technology","Equity","24,460,886.40","0.25","24,460,886.40","47,820.00","98980L101","US98980L1017","BGSP7M9","511.52","United States","NASDAQ","USD","1.00","-","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","24,306,143.04","0.25","24,306,143.04","33,048.00","46120E602","US46120E6023","2871301","735.48","United States","NASDAQ","USD","1.00","-","USD"
"INTU","INTUIT INC","Information Technology","Equity","24,069,545.08","0.24","24,069,545.08","71,974.00","461202103","US4612021034","2459020","334.42","United States","NASDAQ","USD","1.00","-","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","23,207,085.68","0.24","23,207,085.68","68,776.00","78409V104","US78409V1044","BYV2325","337.43","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TGT","TARGET CORP","Consumer Discretionary","Equity","22,925,868.63","0.23","22,925,868.63","143,081.00","87612E106","US87612E1064","2259101","160.23","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","22,884,762.33","0.23","22,884,762.33","404,253.00","609207105","US6092071058","B8CKK03","56.61","United States","NASDAQ","USD","1.00","-","USD"
"CVS","CVS HEALTH CORP","Health Care","Equity","22,497,591.00","0.23","22,497,591.00","373,404.00","126650100","US1266501006","2577609","60.25","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ANTM","ANTHEM INC","Health Care","Equity","22,457,692.92","0.23","22,457,692.92","72,267.00","036752103","US0367521038","BSPHGL4","310.76","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","22,246,901.75","0.23","22,246,901.75","136,075.00","98978V103","US98978V1035","B95WG16","163.49","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"SYK","STRYKER CORP","Health Care","Equity","21,937,477.80","0.22","21,937,477.80","98,862.00","863667101","US8636671013","2853688","221.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","21,854,248.16","0.22","21,854,248.16","359,504.00","375558103","US3755581036","2369174","60.79","United States","NASDAQ","USD","1.00","-","USD"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","21,751,222.64","0.22","21,751,222.64","210,686.00","74340W103","US74340W1036","B44WZD7","103.24","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","21,335,535.00","0.22","21,335,535.00","11,700.00","09857L108","US09857L1089","BDRXDB4","1,823.55","United States","NASDAQ","USD","1.00","-","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","20,806,895.44","0.21","20,806,895.44","532,418.00","02209S103","US02209S1033","2692632","39.08","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","20,425,000.00","0.21","20,425,000.00","20,425,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"MS","MORGAN STANLEY","Financials","Equity","19,780,572.63","0.20","19,780,572.63","381,349.00","617446448","US6174464486","2262314","51.87","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"FDX","FEDEX CORP","Industrials","Equity","19,609,024.68","0.20","19,609,024.68","69,153.00","31428X106","US31428X1063","2142784","283.56","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","19,558,601.26","0.20","19,558,601.26","343,013.00","872540109","US8725401090","2989301","57.02","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","19,543,858.56","0.20","19,543,858.56","25,152.00","29444U700","US29444U7000","BVLZX12","777.03","United States","NASDAQ","USD","1.00","-","USD"
"D","DOMINION ENERGY INC","Utilities","Equity","19,475,222.80","0.20","19,475,222.80","240,020.00","25746U109","US25746U1097","2542049","81.14","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DUK","DUKE ENERGY CORP","Utilities","Equity","19,457,914.38","0.20","19,457,914.38","209,721.00","26441C204","US26441C2044","B7VD3F2","92.78","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","19,437,586.96","0.20","19,437,586.96","94,799.00","38141G104","US38141G1040","2407966","205.04","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DE","DEERE","Industrials","Equity","19,332,705.83","0.20","19,332,705.83","80,711.00","244199105","US2441991054","2261203","239.53","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","19,139,902.26","0.19","19,139,902.26","241,239.00","194162103","US1941621039","2209106","79.34","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
